Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1976	04	25	15.5989152	-9999	12.2127	5.32477	76.5033	-9999	1.5163	-9999	-9999	-9999	-9999
1976	04	26	19.0975968	-9999	10.9684	4.18882	70.204	-9999	0.00426113	-9999	-9999	-9999	-9999
1976	04	27	17.3568096	-9999	11.9843	2.97858	65.7542	-9999	3.36326e-09	-9999	-9999	-9999	-9999
1976	04	28	16.7949504	-9999	12.5154	3.38773	72.9362	-9999	4.51179	-9999	-9999	-9999	-9999
1976	04	29	18.6166944	-9999	13.7594	6.5546	67.2986	-9999	2.22152	-9999	-9999	-9999	-9999
1976	04	30	15.8780736	-9999	11.0147	5.70572	83.4963	-9999	6.56104	-9999	-9999	-9999	-9999
1976	05	01	17.7069024	-9999	8.71018	4.39734	84.8185	-9999	0.0137462	-9999	-9999	-9999	-9999
1976	05	02	20.2766112	-9999	8.51038	3.93472	83.6261	-9999	0.00285397	-9999	-9999	-9999	-9999
1976	05	03	21.6991872	-9999	12.0321	4.17703	77.2275	-9999	0.148843	-9999	-9999	-9999	-9999
1976	05	04	18.8996544	-9999	13.3751	6.04791	73.0631	-9999	0.637329	-9999	-9999	-9999	-9999
1976	05	05	13.518576	-9999	13.5955	7.19092	79.255	-9999	17.6284	-9999	-9999	-9999	-9999
1976	05	06	6.46055136	-9999	11.2257	6.93976	83.2915	-9999	9.55871	-9999	-9999	-9999	-9999
1976	05	07	13.1839488	-9999	10.8178	5.36447	87.5487	-9999	9.78929	-9999	-9999	-9999	-9999
1976	05	08	22.3747488	-9999	13.1535	6.81357	79.8411	-9999	1.0496e-12	-9999	-9999	-9999	-9999
1976	05	09	22.3194528	-9999	17.5118	9.63626	50.3474	-9999	0	-9999	-9999	-9999	-9999
1976	05	10	22.5880704	-9999	23.6592	15.516	29.5091	-9999	0	-9999	-9999	-9999	-9999
1976	05	11	22.4584704	-9999	22.4361	17.9805	30.1642	-9999	0	-9999	-9999	-9999	-9999
1976	05	12	21.7402272	-9999	26.0668	18.0944	19.0668	-9999	0	-9999	-9999	-9999	-9999
1976	05	13	22.7198304	-9999	28.0043	17.5818	22.9544	-9999	0	-9999	-9999	-9999	-9999
1976	05	14	22.6352448	-9999	22.9868	13.723	50.4219	-9999	0	-9999	-9999	-9999	-9999
1976	05	15	10.2225024	-9999	16.4925	4.88754	65.9761	-9999	1.51964	-9999	-9999	-9999	-9999
1976	05	16	22.6263456	-9999	10.1118	4.38339	60.8624	-9999	0.0471967	-9999	-9999	-9999	-9999
1976	05	17	23.3506368	-9999	15.5719	6.06036	35.8195	-9999	0	-9999	-9999	-9999	-9999
1976	05	18	22.7961216	-9999	19.5914	11.1001	41.0041	-9999	0	-9999	-9999	-9999	-9999
1976	05	19	22.8691296	-9999	21.183	10.8975	41.6531	-9999	0	-9999	-9999	-9999	-9999
1976	05	20	22.1871744	-9999	24.8901	14.7635	33.2357	-9999	0	-9999	-9999	-9999	-9999
1976	05	21	23.1899328	-9999	24.2636	9.00674	51.8809	-9999	0	-9999	-9999	-9999	-9999
1976	05	22	23.3549568	-9999	13.0801	6.86334	76.9738	-9999	2.80899	-9999	-9999	-9999	-9999
1976	05	23	13.834368	-9999	9.77006	6.63443	85.2747	-9999	0.0461641	-9999	-9999	-9999	-9999
1976	05	24	18.6998112	-9999	13.8538	6.84781	73.8694	-9999	2.3184	-9999	-9999	-9999	-9999
1976	05	25	20.4241824	-9999	14.7878	7.73663	64.7257	-9999	0.331596	-9999	-9999	-9999	-9999
1976	05	26	15.7211712	-9999	14.3259	8.36773	77.4365	-9999	0.950541	-9999	-9999	-9999	-9999
1976	05	27	19.3301856	-9999	16.9348	7.4512	74.9169	-9999	1.85218	-9999	-9999	-9999	-9999
1976	05	28	23.6327328	-9999	19.4068	9.20782	61.7993	-9999	0	-9999	-9999	-9999	-9999
1976	05	29	22.3690464	-9999	24.212	13.6374	43.8597	-9999	0	-9999	-9999	-9999	-9999
1976	05	30	22.8070944	-9999	30.059	17.9622	27.9058	-9999	0	-9999	-9999	-9999	-9999
1976	05	31	22.1118336	-9999	27.598	20.4152	37.4958	-9999	0	-9999	-9999	-9999	-9999
1976	06	01	16.5374784	-9999	28.4198	20.8777	27.6509	-9999	0.000110685	-9999	-9999	-9999	-9999
1976	06	02	22.2395328	-9999	20.622	9.14887	39.9043	-9999	0	-9999	-9999	-9999	-9999
1976	06	03	24.1579584	-9999	11.8645	5.35557	72.801	-9999	6.98108e-13	-9999	-9999	-9999	-9999
1976	06	04	12.4969824	-9999	13.4348	5.35322	74.3889	-9999	17.6766	-9999	-9999	-9999	-9999
1976	06	05	2.07732384	-9999	11.4824	8.45991	93.549	-9999	1.82543	-9999	-9999	-9999	-9999
1976	06	06	11.6003232	-9999	15.5145	9.96107	85.5064	-9999	15.8428	-9999	-9999	-9999	-9999
1976	06	07	22.2693408	-9999	18.7744	9.88667	63.1036	-9999	9.70122	-9999	-9999	-9999	-9999
1976	06	08	23.8616928	-9999	22.0946	12.9001	54.2819	-9999	0	-9999	-9999	-9999	-9999
1976	06	09	23.5584288	-9999	17.232	10.6164	76.4561	-9999	0	-9999	-9999	-9999	-9999
1976	06	10	20.7367776	-9999	18.8475	10.5138	76.9625	-9999	0	-9999	-9999	-9999	-9999
1976	06	11	23.5560096	-9999	19.4065	11.1625	64.5435	-9999	0	-9999	-9999	-9999	-9999
1976	06	12	23.814864	-9999	21.2748	12.1506	61.3648	-9999	0	-9999	-9999	-9999	-9999
1976	06	13	22.6322208	-9999	22.4939	15.0396	59.2854	-9999	0	-9999	-9999	-9999	-9999
1976	06	14	22.5445248	-9999	23.5942	16.1957	43.5316	-9999	0	-9999	-9999	-9999	-9999
1976	06	15	23.6056032	-9999	24.7649	18.4854	30.1578	-9999	0	-9999	-9999	-9999	-9999
1976	06	16	23.769936	-9999	25.0078	13.2665	48.0362	-9999	0	-9999	-9999	-9999	-9999
1976	06	17	24.4759968	-9999	14.4125	9.75154	58.4348	-9999	0	-9999	-9999	-9999	-9999
1976	06	18	24.315552	-9999	20.7519	9.63706	45.5744	-9999	0	-9999	-9999	-9999	-9999
1976	06	19	23.3337888	-9999	24.4616	13.7447	42.8604	-9999	0	-9999	-9999	-9999	-9999
1976	06	20	21.6139104	-9999	26.8972	19.6659	23.9802	-9999	0	-9999	-9999	-9999	-9999
1976	06	21	23.5886688	-9999	29.0213	23.734	18.2224	-9999	0	-9999	-9999	-9999	-9999
1976	06	22	21.71664	-9999	30.6481	20.4252	18.9774	-9999	0	-9999	-9999	-9999	-9999
1976	06	23	20.5171488	-9999	25.1079	10.7101	46.849	-9999	0	-9999	-9999	-9999	-9999
1976	06	24	24.3135648	-9999	14.6945	9.89994	65.5678	-9999	0	-9999	-9999	-9999	-9999
1976	06	25	23.0220576	-9999	19.9232	11.5371	36.2816	-9999	0.0525687	-9999	-9999	-9999	-9999
1976	06	26	13.617936	-9999	24.2599	14.6817	47.3325	-9999	0.0588731	-9999	-9999	-9999	-9999
1976	06	27	12.3088032	-9999	20.5576	13.7442	66.3752	-9999	0.356376	-9999	-9999	-9999	-9999
1976	06	28	24.30864	-9999	15.6106	8.56336	68.9666	-9999	0	-9999	-9999	-9999	-9999
1976	06	29	23.701248	-9999	17.2284	8.76432	49.7068	-9999	0.0505276	-9999	-9999	-9999	-9999
1976	06	30	10.6945056	-9999	15.2751	9.42808	71.0848	-9999	6.04557	-9999	-9999	-9999	-9999
1976	07	01	23.6336832	-9999	15.3924	9.60053	67.845	-9999	0	-9999	-9999	-9999	-9999
1976	07	02	24.080112	-9999	14.1666	9.45322	62.2743	-9999	0	-9999	-9999	-9999	-9999
1976	07	03	20.3853024	-9999	17.8886	10.5231	43.4063	-9999	0	-9999	-9999	-9999	-9999
1976	07	04	22.1303232	-9999	18.81	11.7913	55.6998	-9999	0.407748	-9999	-9999	-9999	-9999
1976	07	05	21.7573344	-9999	20.0636	11.2391	55.0363	-9999	0.508541	-9999	-9999	-9999	-9999
1976	07	06	23.5704384	-9999	20.1453	11.9066	45.6037	-9999	0	-9999	-9999	-9999	-9999
1976	07	07	23.362992	-9999	21.9696	11.5974	41.0452	-9999	0	-9999	-9999	-9999	-9999
1976	07	08	11.6049888	-9999	20.3956	16.0923	43.4183	-9999	0.000192279	-9999	-9999	-9999	-9999
1976	07	09	18.3512736	-9999	26.9493	18.605	35.114	-9999	7.32747e-15	-9999	-9999	-9999	-9999
1976	07	10	18.3076416	-9999	29.6599	20.4141	24.816	-9999	0	-9999	-9999	-9999	-9999
1976	07	11	23.1745536	-9999	29.8688	20.3718	24.5953	-9999	0	-9999	-9999	-9999	-9999
1976	07	12	23.2975008	-9999	29.2278	18.2675	28.1323	-9999	0	-9999	-9999	-9999	-9999
1976	07	13	23.3335296	-9999	26.6848	17.7678	39.033	-9999	0	-9999	-9999	-9999	-9999
1976	07	14	22.7929248	-9999	28.8716	19.4004	37.7394	-9999	0	-9999	-9999	-9999	-9999
1976	07	15	22.7993184	-9999	28.3413	19.2414	37.6166	-9999	0	-9999	-9999	-9999	-9999
1976	07	16	22.578048	-9999	31.7623	21.5628	32.4516	-9999	0	-9999	-9999	-9999	-9999
1976	07	17	22.6139904	-9999	34.1461	23.8583	20.9646	-9999	0	-9999	-9999	-9999	-9999
1976	07	18	22.8469248	-9999	27.3703	17.5357	37.2794	-9999	0	-9999	-9999	-9999	-9999
1976	07	19	22.8933216	-9999	22.9487	16.1362	42.0394	-9999	0	-9999	-9999	-9999	-9999
1976	07	20	22.791888	-9999	27.5533	17.0917	31.9927	-9999	0	-9999	-9999	-9999	-9999
1976	07	21	23.2155072	-9999	28.5477	19.621	22.8314	-9999	0	-9999	-9999	-9999	-9999
1976	07	22	22.2994944	-9999	27.8691	17.9189	31.7315	-9999	0	-9999	-9999	-9999	-9999
1976	07	23	23.194512	-9999	23.7253	16.0733	37.0024	-9999	0	-9999	-9999	-9999	-9999
1976	07	24	22.935312	-9999	28.2608	14.8071	28.7324	-9999	0	-9999	-9999	-9999	-9999
1976	07	25	20.0773728	-9999	31.7565	21.4024	28.0528	-9999	0	-9999	-9999	-9999	-9999
1976	07	26	22.2867072	-9999	30.0033	23.0698	24.2388	-9999	0	-9999	-9999	-9999	-9999
1976	07	27	21.5461728	-9999	32.8002	24.1546	22.5346	-9999	0	-9999	-9999	-9999	-9999
1976	07	28	22.5909216	-9999	33.1492	21.6254	17.5838	-9999	0	-9999	-9999	-9999	-9999
1976	07	29	21.968928	-9999	23.4132	13.3246	39.9343	-9999	0	-9999	-9999	-9999	-9999
1976	07	30	22.375008	-9999	18.1567	12.2284	58.5117	-9999	0	-9999	-9999	-9999	-9999
1976	07	31	15.9033024	-9999	19.7017	12.0877	52.1676	-9999	0.924662	-9999	-9999	-9999	-9999
1976	08	01	20.9367072	-9999	20.1339	12.2537	43.7655	-9999	0	-9999	-9999	-9999	-9999
1976	08	02	15.894144	-9999	20.8595	13.0516	50.6162	-9999	1.22736	-9999	-9999	-9999	-9999
1976	08	03	21.4430112	-9999	22.281	12.9297	48.6429	-9999	0	-9999	-9999	-9999	-9999
1976	08	04	20.859984	-9999	25.8447	14.4031	42.3725	-9999	0	-9999	-9999	-9999	-9999
1976	08	05	20.867328	-9999	28.2143	19.0538	34.5816	-9999	0	-9999	-9999	-9999	-9999
1976	08	06	16.7632416	-9999	28.9361	22.09	30.943	-9999	0	-9999	-9999	-9999	-9999
1976	08	07	18.4959936	-9999	28.9071	21.5515	37.0624	-9999	0	-9999	-9999	-9999	-9999
1976	08	08	20.3840928	-9999	28.6806	20.1587	39.5213	-9999	0	-9999	-9999	-9999	-9999
1976	08	09	20.7673632	-9999	24.8094	17.1909	42.2213	-9999	0	-9999	-9999	-9999	-9999
1976	08	10	20.9006784	-9999	26.903	18.6562	33.1585	-9999	0	-9999	-9999	-9999	-9999
1976	08	11	20.7576864	-9999	28.0392	19.3919	34.9571	-9999	0	-9999	-9999	-9999	-9999
1976	08	12	20.63016	-9999	28.7545	21.4319	28.3002	-9999	0	-9999	-9999	-9999	-9999
1976	08	13	18.8262144	-9999	30.4867	22.0425	28.0983	-9999	0	-9999	-9999	-9999	-9999
1976	08	14	20.4454368	-9999	27.5467	21.4135	32.3414	-9999	0	-9999	-9999	-9999	-9999
1976	08	15	20.1794976	-9999	30.1003	19.5406	32.1114	-9999	0	-9999	-9999	-9999	-9999
1976	08	16	19.8124704	-9999	26.6238	19.1071	33.5956	-9999	0	-9999	-9999	-9999	-9999
1976	08	17	19.6632576	-9999	30.5033	21.1524	30.1833	-9999	0	-9999	-9999	-9999	-9999
1976	08	18	19.8593856	-9999	24.6855	18.4043	37.2215	-9999	0	-9999	-9999	-9999	-9999
1976	08	19	17.4566016	-9999	23.1888	16.589	37.2479	-9999	0	-9999	-9999	-9999	-9999
1976	08	20	17.8346016	-9999	18.9704	13.9774	45.5582	-9999	0.155615	-9999	-9999	-9999	-9999
1976	08	21	19.6476192	-9999	21.336	14.3775	44.107	-9999	0	-9999	-9999	-9999	-9999
1976	08	22	19.3710528	-9999	23.9553	15.7801	46.3389	-9999	0	-9999	-9999	-9999	-9999
1976	08	23	19.5561216	-9999	28.297	18.3718	20.2788	-9999	0	-9999	-9999	-9999	-9999
1976	08	24	19.2565728	-9999	31.7408	25.1036	17.4315	-9999	0	-9999	-9999	-9999	-9999
1976	08	25	19.2151872	-9999	34.7488	25.7036	17.0379	-9999	0	-9999	-9999	-9999	-9999
1976	08	26	15.5807712	-9999	33.0703	21.225	31.2543	-9999	0	-9999	-9999	-9999	-9999
1976	08	27	16.4638656	-9999	29.1271	19.8132	44.176	-9999	0	-9999	-9999	-9999	-9999
1976	08	28	10.2413376	-9999	19.326	16.4381	70.1387	-9999	15.3059	-9999	-9999	-9999	-9999
1976	08	29	14.77008	-9999	20.4465	15.2668	75.3714	-9999	7.08647	-9999	-9999	-9999	-9999
1976	08	30	17.799264	-9999	22.5937	16.6272	55.1132	-9999	0	-9999	-9999	-9999	-9999
1976	08	31	17.0751456	-9999	24.7734	17.5448	49.3426	-9999	0.786378	-9999	-9999	-9999	-9999
1976	09	01	18.0131904	-9999	26.9618	19.2362	36.1321	-9999	0	-9999	-9999	-9999	-9999
